source,shared_from,date,text,reactions,likes,ahah,love,wow,sigh,grrr,comments,post_id,url
"Nguyễn Hương,Lập trình Swift",,"['31', 'May', 'at', '06:42']","🔥🔥NỘP HỒ SƠ PHỎNG VẤN ĐI LÀM LUÔN🔥🔥 ☀️☀️TUYỂN LẬP TRÌNH VIÊN IOS, ANDROID LÀM VIỆC TẠI TOKYO- NHẬT  💥- Tốt nghiệp hệ đại học ngành CNTT  💥- Có ít nhất 2 năm kinh nghiệm 💥- Ưu tiên ứng viên đang sống tại Nhật  💥- Tiếng Nhật N3 💥- Lương từ 40- 60man/tháng 💥- Phụ cấp đi lại, nhà ở 💥- Chế độ bảo hiểm, thưởng, nghỉ lễ đúng quy của luật lao động  🚩CV GỬI VỀ: HOACMC.25@GMAIL.COM 🚩HOẶC IBOX MÌNH TRAO ĐỔI CỤ THỂ",1,1,,,,,,,2389076704679320,/groups/1445720959014904?view=permalink&id=2389076704679320
"Nguyên Đình,Lập trình Swift",,"['30', 'May', 'at', '16:27']","[HCM/HN/ĐN] iOS Developer | UP TO $1,800 🔖 Sun* Inc. (New brand of Framgia Inc.) cần tuyển iOS Developer với 1 năm kinh nghiệm. Bạn sẽ nhận mức offer từ $600 - $1,800 kèm những phúc lợi siêu hấp dẫn. 🔖 Đãi ngộ:  🎁 Lương tháng 13. Performance review: 2 lần/năm. 🎁 Trang thiết bị hiện đại, sẵn sàng phục vụ nhân viên mọi lúc mọi nơi. 🎁 Môi trường làm việc toàn cầu, văn hóa đa quốc gia, tôn trọng phát triển cá nhân, công bằng và luôn khuyến khích sáng tạo để tạo nên những giá trị ""awesome"" cho công ty & cho thế giới. 🎁 Được tham gia các chương trình training về kỹ năng công nghệ và kỹ năng mềm, phương pháp làm việc (Agile, Scrum...).Được tư vấn và chia sẻ về phát triển năng lực và nghề nghiệp bản thân. 🎁 Phụ cấp Beauty Care, phụ cấp chứng chỉ IT, phụ cấp tiếng Nhật, phụ cấp kỹ năng tiếng Nhật, phụ cấp chứng chỉ tiếng Anh, phụ cấp tham gia hội thảo ngoài 🔻 Sun* Inc. tuyển ở cả TP HCM, Hà Nội và Đà Nẵng luôn nhé cả nhà. 🔻 Địa chỉ: Tầng 13, Keangnam Hanoi Landmark Tower, Khu E6, Khu đô thị mới Cầu Giấy, Phường Mễ Trì, Quận Nam Từ Liêm, Thành phố Hà Nội ---- Gửi CV bạn qua mail dinhnguyen.nguyenle@gmail.com 📧 Tiêu đề: iOS - Sun - Tên bạn Mọi thắc mắc, bạn vui lòng comment bên dưới hoặc inbox cho mình nhé!",8,8,,,,,,1,2388627724724218,/groups/1445720959014904?view=permalink&id=2388627724724218
"Hoàng Bùi,Lập trình Swift",,"['30', 'May', 'at', '15:47']","[HN] Unity Game Dev at OneSoft | Offer up to $1,500 ✽Công ty CP OneSoft là một trong 5 cty game mạnh nhất ở Đông Nam Á năm 2018 và là đối tác số 1 của Google và Facebook tại VN năm 2018, 2019. Mỗi năm chúng tôi có khoảng 200 triệu lượt tải trên cả Android và iOS, có nhiều game liên tục có thứ hạng cao trong bảng xếp hạng của Mỹ. Hiện nay cty có nhu cầu tuyển dụng vị trí Unity Game Dev ở Hà Nội 💨Yêu Cầu: ✸Đã từng làm ít nhất 2-3 minigames dev bằng Unity (Cho cá nhân hoặc công ty) ✸Có kinh nghiệm lập trình Unity 2 năm trở lên. ⭐Ưu đãi: 💥Lương hấp dẫn, lên đến $1,500 💥Thu nhập 14-16 tháng lương/năm + thưởng dự án, thưởng Tết 💥Được đóng gói bảo hiểm đặc biệt, khám sức khỏe 1 lần/năm 💥Phúc lợi của cty: teambuilding, tiệc sinh nhật,.. 💥Xét tăng lương 2 lần/năm, được thưởng nóng ngay lập tức khi có sáng tạo đột biến 💛Địa chỉ: Tầng 14 Toà Detech II , 107 Đường Nguyễn Phong Sắc, Dịch Vọng, Quận Cầu Giấy, Hà Nội -- Quá nhiều ưu đãi hấp dẫn cho nhân viên phải không nè. Mọi người nhanh tay nộp CV vào địa chỉ mail hr.gianghi.nguyen.0104@gmail.com Tiêu đề: [Onesoft]-[Unity Game Dev]-[Họ và tên] Các bạn quan tâm thoải mái inbox hoặc comment bên dưới mình sẽ trả lời nha.",,,,,,,,1,2388610281392629,/groups/1445720959014904?view=permalink&id=2388610281392629
Trịnh Thu Hằng,,"['29', 'May', 'at', '11:18']","Xin phép admin, mình xin chia sẻ 1 sự kiện thú vị dành cho các bạn đang học và làm việc trong team Agile, SE, QA, Tester và Dev cũng như các CTO và Project Manager nói chung: AUTOMATED DELIVERY SYSTEM IN AI CONTEXT. Sự kiện sẽ có sự tham gia của các SE/DevOps speakers đến từ Cinnamon AI và phần thảo luận nhóm tìm giải pháp cho các tình huống thực tế trong doanh nghiệp. Các bạn có thể xem thông tin sự kiện tại đây nha :D  https://www.facebook.com/events/617806138698871/",,,,,,,,,2387849804802010,/groups/1445720959014904?view=permalink&id=2387849804802010
"Gia Nghi,Lập trình Swift",,"['29', 'May', 'at', '14:07']","[Hà Nội, HCM, Đà Nẵng] iOS Dev tại Sun* Inc.| Offer up to $1,800 👋Sun* Inc. được thành lập vào năm 2012, mang hình ảnh một “studio”  tập trung chuyên gia nhiều lĩnh vực, không chỉ lập trình và thiết kế mà còn cung cấp tài chính, marketing. Hiện nay công ty Sun* Inc. đang cần tìm các “sunshine” về team với mức lương hấp dẫn lên đến $1,800 👉Yêu cầu: Ít nhất 1 năm kinh nghiệm làm việc với iOS Sử dụng thành thạo, hiểu sâu về C/C++/Objective-C/ Swift 😍Ưu đãi: -Lương tháng 13, review lương 2 lần/năm -Trợ cấp ăn trưa, chi phí đi lại và đồ uống trong khu ăn uống của cty -Được đóng đầy đủ các loại bảo hiểm -Du lịch thường niên -Phụ cấp các chứng chỉ IT, chứng chỉ tiếng Nhật, chứng chỉ tiếng Anh -Trang thiết bị hiện đại 🏠Địa chỉ:  -Keangnam Hanoi Landmark Tower, Khu E6, Khu đô thị mới Cầu Giấy, Quận Nam Từ Liêm, Thành phố Hà Nội  -4F, FHome Building, 16 Lý Thường Kiệt, Quận Hải Châu, Đà Nẵng  -8F Nice building, 467 Điện Biên Phủ, Quận Bình Thạnh, Hồ Chí Minh Nhanh tay apply vào mail hr.gianghi.nguyen.0104@gmail.com Tiêu đề: [Sun*]_[iOS Dev]_[Họ và tên] Mn quan tâm có thể inbox trực tiếp cho mình nha.",8,8,,,,,,2,2387914594795531,/groups/1445720959014904?view=permalink&id=2387914594795531
"Đồng Xuân Thành,Truong Thang",,"['28', 'May', 'at', '19:56']",[8:00] Mời anh em vào học Android - Kotlin  Đường link lớp học: https://zoom.us/j/5677889999,,,,,,,,,2387397974847193,/groups/1445720959014904?view=permalink&id=2387397974847193
"Nhật HR,Lập trình Swift",,"['12', 'May', 'at', '22:21']",,,,,,,,,6,2376187075968283,/groups/1445720959014904?view=permalink&id=2376187075968283
"Nhật HR,Lập trình Swift",,"['26', 'May', 'at', '20:51']",Lập trình viên IOS/Android/Java/.Net/ReatJS Kinh nghiệm >2 năm lương upto 17 -20M Ứng viên ứng tuyển có thể ping mình nhé,1,1,,,,,,2,2386062368314087,/groups/1445720959014904?view=permalink&id=2386062368314087
"Trần Việt,Lập trình Swift",,"['27', 'May', 'at', '14:57']","[HN] Mobile Developer (Android, IOS) at PayGate | Offer : Up to $1500 🎉🎉🎉 PayGate là tập đoàn fintech có trụ sở chính ở Seoul, Hàn Quốc. Được thành lập từ năm 1998, PayGate là một trong 5 công ty về fintech hàng đầu tại Hàn Quốc với hơn 3000 merchants và hơn 100 đối tác quốc tế như AirBnB, Paypal,… Hiện tại ngôi nhà PayGate còn thiếu 2 người thân mobile developer nhanh nhanh apply nào mọi người ơi. Cơ hội đang mở ra cho các ứng viên tại Hà Nội nhé 😻😻😻 ✌️Yêu cầu, bạn chỉ cần : +Có trên 3 năm kinh nghiệm code Mobile App  +Có kinh nghiệm viết iOS app bằng Swift hoặc Android bằng Java. ✌️Đừng bỏ qua phúc lợi nhé :  +Lương & thưởng hấp dẫn. Lương tháng 13, ... + Được làm việc trong môi trường chuyên nghiệp, được tham gia và triển khai các dự án lớn, có khả năng học hỏi và thăng tiến cao. +Bảo hiểm y tế, bảo hiểm xã hội, bảo hiểm thất nghiệp +Được tham gia các sự kiện IT hoặc đi training bên Hàn Quốc 🏢 Địa chỉ : Tầng 2, tòa nhà 25T2, Hoàng Đạo Thúy, Trung Hòa, Quận Cầu Giấy, Hà Nội 👉Nhanh tay gửi CV về mail : tranviet19967@gmail.com 👉Title : [PayGate] - Vịtrí - Họ và tên Mọi người quan tâm hay thắc mắc thì cứ cmt hoặc ib mình nhé.",4,3,,1,,,,4,2386591634927827,/groups/1445720959014904?view=permalink&id=2386591634927827
"Đồng Xuân Thành,Truong Thang",,"['27', 'May', 'at', '19:47']",[8:00] Học lập trình iOS cơ bản https://zoom.us/j/5677889999,,,,,,,,,2386728398247484,/groups/1445720959014904?view=permalink&id=2386728398247484
"Nhật HR,Lập trình Swift",,"['27', 'May', 'at', '09:39']","Bên mình cần tuyển 2 bạn Senior thành thạo ít nhất một ngôn ngữ: PHP, Python, VueJS, React, Java... Mức lương: 15-30 triệu + gửi xe + tiền ăn nhậu ^^... - Có kinh nghiệm 2 năm trở lên - Thông minh, nhanh nhạy, tư duy logic tốt",,,,,,,,,2386445884942402,/groups/1445720959014904?view=permalink&id=2386445884942402
"Han Tran,Nhà hàng SUN Buffet Nướng không khói - 99K",,2019-05-26 19:32:00,,1,,,1,,,,,2386053118315012,/groups/1445720959014904?view=permalink&id=2386053118315012
"Ngân Nguyễn,Lập trình Swift",,"['24', 'May', 'at', '14:06']",,1,1,,,,,,1,2384367521816905,/groups/1445720959014904?view=permalink&id=2384367521816905
Nguyễn Tuấn,,"['24', 'May', 'at', '12:56']","Mong ad duyệt, đây là group mang tính cộng đồng, không thu lợi cho cá nhân hay cho bất kỳ ai, vì đây là group cập nhật và phát triển Developer Việt Nam. Với mong muốn của bản thân là được kết bạn và giao lưu với tất cả các bạn Developer Việt Nam cùng nhau tụ hội lại 1 nơi như Facebook để có thể cùng nhau nhau trò chuyện và cập nhật các thông tin và sự kiện công nghệ lớn tại Việt Nam và các công ty công nghệ lớn hàng đầu thế giới như Google,... Và cộng đồng này là do Google Developer Group Vietnam tạo ra và phát triển. Mình mong các bạn Dev và học sinh, sinh viên cũng như mình cùng nhau tham gia và để cộng đồng lập trình viên cùng nhau ngồi lại để chia sẻ các tin tức và những gì bạn biết về lập trình cho mọi người cùng biết và phát triển cộng đồng lập trình Việt Nam mình lên nhé! Hãy cùng tham gia chung với mình nhé! ^^ [https://www.facebook.com/groups/709168805764561/]",,,,,,,,,2384335065153484,/groups/1445720959014904?view=permalink&id=2384335065153484
"Dương Lý HR,Lập trình Swift",,"['24', 'May', 'at', '09:57']","🔯 Lập Trình Viên Làm Việc Tại Nhật Bản 🔯  🎓 Lộ trình đào tạo rõ ràng . ⚠️ Cam kết, thủ tục, chi phí rõ ràng, minh bạch.  Yêu cầu:  👉 Nam/ Nữ Tốt nghiệp ĐH các chuyên ngành liên quan đến IT. 👉 Sức khỏe tốt, có tinh thần trách nhiệm trong công việc.  Quyền lợi: 👉Lương từ: 20 - 25 man/tháng.  👉 Chế độ BHXH,BHYT theo quy định của Nhật. 👉 Thời gian làm việc từ 8h - 17h. Nghỉ trưa 1h. 👉 Được nghỉ các ngày lễ theo quy định của Nhật. 👉 Được bảo lãnh vợ con, người thân sang Nhật. 👉 Đối với các bạn mới ra trường sẽ được đào tạo tiếng và chuyên môn trước khi xuất cảnh. 🔈 Nhật Bản không phải chỉ có màu hồng. Nhưng là một đất nước để bạn có thể học tập và phát triển bản thân tốt nhất.",,,,,,,,,2384258958494428,/groups/1445720959014904?view=permalink&id=2384258958494428
"Mã Kim Tàii,Lập trình Swift",,"['24', 'May', 'at', '10:18']","mọi người ơi cho em hỏi , ngoài cách dùng mirror ra để lấy value và key của Class đó , thì có cách nào để em có thể lấy ra và thay đổi value đc không ạ",2,2,,,,,,2,2384267765160214,/groups/1445720959014904?view=permalink&id=2384267765160214
"Trần Việt,Lập trình Swift",,"['23', 'May', 'at', '16:21']","[HN] Sun* Inc. TUYỂN DỤNG SYSTEM ENGINEER ( System Admin, Networking) |  Offer : $400-$900 Sun* Inc. (tiền thân là Framgia Inc.), được thành lập vào năm 2012, là một Digital Creative Studio hiện có hơn 1300 thành viên tại 6 thành phố ở 4 quốc gia Châu Á. Hãy apply,  gia nhập vào đại gia đình Sun* nào, đây sẽ là cơ hội làm việc ở môi trường IT chuyên nghiệp của bạn đấy :)  ✌️Yêu cầu thì nho nhỏ thôi :  Kinh nghiệm từ 1 năm với vị trí tương đương ✌️Chắc chắn không thể quên phúc lợi rồi : +Lương & thưởng hấp dẫn . Lương tháng 13, …  +Được đào tạo thêm về chuyên môn, mang một tầm nhìn mới về cho bản thân. +Môi trường chuyên nghiệp , đồng nghiệp vui tính cởi mở . +BHXH, BHYT, BHTN, ….. +Không gian nghỉ ngơi thoải mái sau thời gian làm việc mệt mỏi. +Được tham gia các buổi dã ngoại , team building, party ,… do công ty tổ chức . 👉Nhanh tay gửi CV về mail : tranviet19967@gmail.com 👉Title : [Sun* Inc]-System-Họ & tên. Anh em quan tâm hay thắc mắc thì cứ cmt hoặc ib mình nhé.",,,,,,,,1,2383755515211439,/groups/1445720959014904?view=permalink&id=2383755515211439
"Đồng Xuân Thành,Lập trình Swift",,"['23', 'May', 'at', '20:00']",,1,,,1,,,,,2383864348533889,/groups/1445720959014904?view=permalink&id=2383864348533889
"Nguyễn Đức Thành,Lập trình Swift",,"['23', 'May', 'at', '11:13']",Bác nào có tài liệu heavy migration core data cho các em xin với ạ. E tìm toàn ra lightweight migration :(((. Em cảm ơn,,,,,,,,,2383628251890832,/groups/1445720959014904?view=permalink&id=2383628251890832
"Quyen Le,Lập trình Swift",,"['22', 'May', 'at', '21:00']","F8 MEETUP HANOI 2019 >>> Đăng kí miễn phí tại: https://f8hanoi2019.splashthat.com/ Lần thứ hai tổ chức tại Việt Nam, F8 MeetUp Hanoi 2019 cập nhật các nội dung mới nhất từ F8 toàn cầu, đồng thời mang đến các góc nhìn khác về công nghệ của Facebook tại Việt Nam qua chia sẻ từ các diễn giả có nhiều năm kinh nghiệm trong nghề. Sự kiện là cơ hội kết nối cộng đồng lập trình viên tại Việt Nam với các chuyên gia công nghệ đến từ Facebook và cộng đồng lập trình viên trên thế giới. ⏰Thời gian: 13h30 - 17h30, thứ Bảy, ngày 25/05/2019 🏠Địa điểm: Up Co-working Space, Tầng 8, Tòa nhà Hanoi Creative, số 1 Lương Yên, Bạch Đằng, Hai Bà Trưng, Hà Nội Tham dự F8 MeetUp Hanoi 2019, bạn sẽ được: ▶Hiểu thêm về công nghệ Facebook Open Source: React/React Native, GraphQL, Oculus - VR, Spark AR Creators, PyTorch - AI ▶Được cập nhật thông tin về các tính năng, sản phẩm công nghệ mới nhất từ Facebook. ▶Nghe những chia sẻ, kinh nghiệm thực tế từ những diễn giả có nhiều năm trong nghề. ▶Giao lưu, làm quen với những lập trình viên, chuyên gia công nghệ. ▶Được truyền cảm hứng, định hướng về sự nghiệp tương lai. ▶Nhận những phần quà từ Facebook Developer Circles Hanoi. 🎉Đăng kí tại: https://f8hanoi2019.splashthat.com/ 🎉Link event: https://www.facebook.com/events/2287547891499663/ 🎉Cộng đồng Facebook Developer Circle: Hanoi: https://www.facebook.com/groups/DevCHanoi/ ‼️ Sự kiện hoàn toàn miễn phí! #DevCHanoi #FacebookDevelopers #F8MeetupHanoi",,,,,,,,,2383214311932226,/groups/1445720959014904?view=permalink&id=2383214311932226
"Ken Nguyen,Lập trình Swift",,"['22', 'May', 'at', '22:52']","mình đang cần tìm IT-man để viết một app ứng dụng cho điện thoại, tính năng cũng đơn giản thôi, chủ yếu về traffic connect, giá tầm 5-10tr... group có bạn nào ở HN làm freelancer có hứng thú thì inbox hoặc hẹn coffee trao đổi nhé, thanks... :D",10,10,,,,,,1,2383283131925344,/groups/1445720959014904?view=permalink&id=2383283131925344
"Đồng Xuân Thành,Truong Thang",,"['22', 'May', 'at', '19:42']",[iOS cơ bản],,,,,,,,,2383168911936766,/groups/1445720959014904?view=permalink&id=2383168911936766
Daniel Lee,,"['22', 'May', 'at', '01:03']",Hiring in Hanoi for several job openings now: Tester: https://9cv9.com/blog/jobs/tester-2-nam-kinh-nghiem-o-ha-noi/ PHP: https://9cv9.com/blog/jobs/lap-trinh-vien-php-3-nam-kinh-nghiem/ Android: https://9cv9.com/blog/jobs/lap-trinh-vien-android/ iOS: https://9cv9.com/blog/jobs/lap-trinh-vien-ios-2-nam-kinh-nghiem/ w2312323123,,,,,,,,,2382660545320936,/groups/1445720959014904?view=permalink&id=2382660545320936
"Đồng Xuân Thành,Truong Thang",,"['21', 'May', 'at', '19:58']",[Android],1,,,1,,,,,2382496058670718,/groups/1445720959014904?view=permalink&id=2382496058670718
"Thắng Võ,Lập trình Swift",,"['21', 'May', 'at', '19:03']",mọi người cho mình hỏi. Khi mình publush build lên app store thì build đó tự động ready for testing ở testflight luôn. Làm sao để lần sau publish build nó ko tự động ready for testing ở testflight được ạ? Thanks mọi người :),1,1,,,,,,,2382464828673841,/groups/1445720959014904?view=permalink&id=2382464828673841
"Nguyễn Đức Thành,Lập trình Swift",,"['21', 'May', 'at', '08:28']",Các bác cho em hỏi. Hiện tại em đang custom tableview. Em khi em vuốt từ cạnh phải sang cạnh trái thì nó xoá luôn mà ko hiện nút delete. Có cách nào cho nó hiện nút delete rồi khi ấn nút delete nó mới xóa ko ạ?,3,3,,,,,,3,2382186555368335,/groups/1445720959014904?view=permalink&id=2382186555368335
"Đồng Xuân Thành,Truong Thang",,"['20', 'May', 'at', '19:48']",[iOS cơ bản],1,1,,,,,,,2381799008740423,/groups/1445720959014904?view=permalink&id=2381799008740423
"Nguyễn Hương Thảo,Lập trình Swift",,"['20', 'May', 'at', '10:16']","🔊🔊🔊[HCM] iOS Developer (Swift, Mobile) at Hahalolo 🌈Hahalolo là nhà cung cấp dịch vụ du lịch trực tuyến (OTA) trên nền mạng xã hội dành riêng cho lĩnh vực du lịch. Hiện tại công ty cần tuyển những tài năng công nghệ để bổ sung vào đại gia đình đó nha! 🥳Vào Hahalolo bạn sẽ nhận được gì: 🌷Lương thỏa thuận theo năng lực, lương tháng 13 và thưởng tết. 🌷Đầy đủ chế độ bảo hiểm, phúc lợi xã hội. 🌷Chế độ đãi ngộ siêu hấp dẫn. 🌷Môi trường làm việc trẻ trung và nhiều cơ hội thăng tiến. Chỉ với yêu cầu: 👑1 năm kinh nghiệm phát triển Mobile App 👑Có hiểu biết tốt về iOS, Architecture, Design Pattern Swift. 🏢Địa điểm: 400A-402 Điện Biên Phủ, Phường 17, Quận Bình Thạnh, TPHCM ------------------------------------------------ Nhanh tay gửi CV hôm nay bạn nha: 💌Title: [Hahalolo]_[iOS Developer ]_[Tên bạn]  📭Về Mail: huongthaonnguyen@gmail.com Có gì thắc mắc mọi người cứ inbox hay cmt bên dưới, mình sẽ trả lời liền nha!!🥰 #iOSDeveloper",4,4,,,,,,1,2381522022101455,/groups/1445720959014904?view=permalink&id=2381522022101455
